player1,player2,playerid1,playerid2,deckcode1,deckcode2,characters1,characters2,score1,score2,week_game,isDrop,isBye,isTie,isIncluded,isMirror,server,matchNum,week,game
Ianradtan,crackselo,59,371,BEKiBO4RATLSB/ERCGLRTZgVDMLzizUZJKNDBR4hJkOxB+ghD2NxH+kiD+OBX/UmEOEB,FYDR6F4PJUBh9GATFrEBO2EeCaFw6pchE+IxHjMjFYJxR1ckJXEiDVsQDtFw1OcdDkAA,Maguu Kenki\\Sangonomiya Kokomi\\Shikanoin Heizou,Abyss Herald: Wicked Torrents\\Black Serpent Knight: Windcutter\\Faruzan,1,0,1\\1,,,,TRUE,FALSE,AS,1,1,1
Paroy,BOB,118,676,AbKgXC8OA7AC62gOBsCw7GwPCQBw8JcPFkBB9GQPGWExApMQCyJQarUmE6JhazYmDbAA,ITKzBFcVBMKhTZgZGqLRi74dJLJDzDUhIjPTBVwhD0NxB+ghD2OBH+kiEONBK/UjEaEB,Collei\\Fischl\\Tighnari,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Maguu Kenki,0,1,1\\1,,,,TRUE,FALSE,AS,2,1,1
Oldbie is coming,UwUファン,669,62,G5Ah6cYOAqDB6sgPG0BR9LUPCFDg9p0UCcHQTL8YDKEQisEgE2JhBjYQIbHS1EQdDkAA,ABCxxEAMAEBhyUQMFJBA1oYTCIFgOJcPCkBB9DAQE4EBCDMTE7EwO78UC8LwXsEdDEAA,Arlecchino\\Golden Wolflord\\Zhongli,Eula\\Mona\\Sayu,1,0,1\\1,,,,TRUE,FALSE,AS,3,1,1
Kaizen,Prizm,69,642,FWDA9jEYEaHCihAZIVLCBhwgJWIiE1whDjKwHushDuLAOOwjD4IAR/AkD3JAa/QRDxAA,IRBR8RkPIECy9BgPIWGAlZcbCaJxAzMgEzIwBsYgDGJgOMojDIKgR9kkDXGSzFIcD8AA,Alhaitham\\Kuki Shinobu\\Nahida,Escoffier\\Hydro Tulpa\\Lyney,1,0,1\\1,,,,TRUE,FALSE,AS,4,1,1
可莉nukleer,Огурчик238,178,279,G5FB2hcOGbPBRVMPJ5Fz6mgPCqFx65gQFEES9TIRFHIyPDQUGrMya5QnHKKS1boeDkEB,FXDC6GEOAoBA8mAPBiAA9pcPCWFxOzMTE7Ex21cdFbJwR8EkDHISah0mJaEQ1OcdDkAA,Chiori\\Klee\\Navia,Jahoda\\Kuki Shinobu\\Sucrose,1,0,1\\1,,,,TRUE,FALSE,AS,5,1,1
SOMU,ChiKenz.,267,677,AbDB7FAOA8DA9JcPCkBA9aQPE1Ax9jMPFWFxO7kTG7GQldkdDbGS21IRJRHA1OsdDkAA,JoAi6AoPJUBi9GUPJlBQ9ZcPCWBx9jMdFbFx21ceDKFg6sYQDdGyDVsQDvFwr+caDvAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Black Serpent Knight: Windcutter\\Hydro Hypostasis\\Ifa,1,0,1\\1,,,,TRUE,FALSE,AS,6,1,1
Ryssa,BYE,133,,FbAA7BwOA8DA9JcPCUBw9aQPClBB9lcPFWFxO7kZG1GQldkdDbGS21IRJRHA1OsdDkAA,,Jadeplume Terrorshroom\\Keqing\\Kirara,,1,,1\\1,,TRUE,,,FALSE,AS,7,1,1
Ark,GT-29,13,640,FzACwyAYHXHyhyMhItAx9OIPHkEgA50QCTHRiqsYGqGw6L0eE4JROTUjGJJRa4UmDLAA,AECy8WAPHRDg8kcPJkBi9GYPCWBw9pcTC7HQO8EdDLIwatsmI6Jwa+MmDrEw1OQdDkAA,All-Devouring Narwhal\\Chasca\\Skirk,Durin\\Mavuika\\Mona,0,1,1\\1,,,,TRUE,FALSE,AS,8,1,1
DarkShrine,Buer,28,349,IICi2zolJbBi5w0OIHDQ6JcOCYFxTFcUFcFxlbcZG1Fy2zQdI7FADcMQDNExDzgREzAA,IICw6CYPJSBi8mkPJkCS9A4TCbFwO5cdCrFA26QgEzIxBjMgDWLialsmDqFw1OcdDkAA,Black Serpent Knight: Windcutter\\Dahlia\\Ifa,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Venti,1,0,1\\1,,,,TRUE,FALSE,AS,9,1,1
BOB,Kaizen,676,69,ITKzBFcVBMKhTZgZGqLRi74dJLJDzDUhIjPTBVwhD0NxB+ghD2OBH+kiEONBK/UjEaEB,FWDA9jEYEaHCihAZIVLCBhwgJWIiE1whDjKwHushDuLAOOwjD4IAR/AkD3JAa/QRDxAA,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Maguu Kenki,Alhaitham\\Kuki Shinobu\\Nahida,0,1,1\\2,,,,TRUE,FALSE,AS,10,1,2
SOMU,Ryssa,267,133,AbDB7FAOA8DA9JcPCkBA9aQPE1Ax9jMPFWFxO7kTG7GQldkdDbGS21IRJRHA1OsdDkAA,FbAA7BwOA8DA9JcPCUBw9aQPClBB9lcPFWFxO7kZG1GQldkdDbGS21IRJRHA1OsdDkAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Jadeplume Terrorshroom\\Keqing\\Kirara,1,0,1\\2,,,,TRUE,TRUE,AS,11,1,2
可莉nukleer,Buer,178,349,G5FB2hcOGbPBRVMPJ5Fz6mgPCqFx65gQFEES9TIRFHIyPDQUGrMya5QnHKKS1boeDkEB,IICw6CYPJSBi8mkPJkCS9A4TCbFwO5cdCrFA26QgEzIxBjMgDWLialsmDqFw1OcdDkAA,Chiori\\Klee\\Navia,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Venti,0,1,1\\2,,,,TRUE,FALSE,AS,12,1,2
GT-29,Oldbie is coming,640,669,AECy8WAPHRDg8kcPJkBi9GYPCWBw9pcTC7HQO8EdDLIwatsmI6Jwa+MmDrEw1OQdDkAA,G5Ah6cYOAqDB6sgPG0BR9LUPCFDg9p0UCcHQTL8YDKEQisEgE2JhBjYQIbHS1EQdDkAA,Durin\\Mavuika\\Mona,Arlecchino\\Golden Wolflord\\Zhongli,0,1,1\\2,,,,TRUE,FALSE,AS,13,1,2
Paroy,UwUファン,118,62,AbKgXC8OA7AC62gOBsCw7GwPCQBw8JcPFkBB9GQPGWExApMQCyJQarUmE6JhazYmDbAA,ABCxxEAMAEBhyUQMFJBA1oYTCIFgOJcPCkBB9DAQE4EBCDMTE7EwO78UC8LwXsEdDEAA,Collei\\Fischl\\Tighnari,Eula\\Mona\\Sayu,0,1,1\\2,,,,TRUE,FALSE,AS,14,1,2
Prizm,BYE,642,,IRBR8RkPIECy9BgPIWGAlZcbCaJxAzMgEzIwBsYgDGJgOMojDIKgR9kkDXGSzFIcD8AA,,Escoffier\\Hydro Tulpa\\Lyney,,1,,1\\2,,TRUE,,,FALSE,AS,15,1,2
ChiKenz.,Огурчик238,677,279,JoAi6AoPJUBi9GUPJlBQ9ZcPCWBx9jMdFbFx21ceDKFg6sYQDdGyDVsQDvFwr+caDvAA,FXDC6GEOAoBA8mAPBiAA9pcPCWFxOzMTE7Ex21cdFbJwR8EkDHISah0mJaEQ1OcdDkAA,Black Serpent Knight: Windcutter\\Hydro Hypostasis\\Ifa,Jahoda\\Kuki Shinobu\\Sucrose,0,1,1\\2,,,,TRUE,FALSE,AS,16,1,2
Ianradtan,DarkShrine,59,28,BEKiBO4RATLSB/ERCGLRTZgVDMLzizUZJKNDBR4hJkOxB+ghD2NxH+kiD+OBX/UmEOEB,IICi2zolJbBi5w0OIHDQ6JcOCYFxTFcUFcFxlbcZG1Fy2zQdI7FADcMQDNExDzgREzAA,Maguu Kenki\\Sangonomiya Kokomi\\Shikanoin Heizou,Black Serpent Knight: Windcutter\\Dahlia\\Ifa,0,1,1\\2,,,,TRUE,FALSE,AS,17,1,2
Ark,crackselo,13,371,FzACwyAYHXHyhyMhItAx9OIPHkEgA50QCTHRiqsYGqGw6L0eE4JROTUjGJJRa4UmDLAA,FYDR6F4PJUBh9GATFrEBO2EeCaFw6pchE+IxHjMjFYJxR1ckJXEiDVsQDtFw1OcdDkAA,All-Devouring Narwhal\\Chasca\\Skirk,Abyss Herald: Wicked Torrents\\Black Serpent Knight: Windcutter\\Faruzan,1,0,1\\2,,,,TRUE,FALSE,AS,18,1,2
Paroy,ChiKenz.,118,677,AbKgXC8OA7AC62gOBsCw7GwPCQBw8JcPFkBB9GQPGWExApMQCyJQarUmE6JhazYmDbAA,JoAi6AoPJUBi9GUPJlBQ9ZcPCWBx9jMdFbFx21ceDKFg6sYQDdGyDVsQDvFwr+caDvAA,Collei\\Fischl\\Tighnari,Black Serpent Knight: Windcutter\\Hydro Hypostasis\\Ifa,0,1,1\\3,,,,TRUE,FALSE,AS,19,1,3
Ryssa,Огурчик238,133,279,FbAA7BwOA8DA9JcPCUBw9aQPClBB9lcPFWFxO7kZG1GQldkdDbGS21IRJRHA1OsdDkAA,FXDC6GEOAoBA8mAPBiAA9pcPCWFxOzMTE7Ex21cdFbJwR8EkDHISah0mJaEQ1OcdDkAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Jahoda\\Kuki Shinobu\\Sucrose,1,0,1\\3,,,,TRUE,FALSE,AS,20,1,3
SOMU,Oldbie is coming,267,669,AbDB7FAOA8DA9JcPCkBA9aQPE1Ax9jMPFWFxO7kTG7GQldkdDbGS21IRJRHA1OsdDkAA,G5Ah6cYOAqDB6sgPG0BR9LUPCFDg9p0UCcHQTL8YDKEQisEgE2JhBjYQIbHS1EQdDkAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Arlecchino\\Golden Wolflord\\Zhongli,1,0,1\\3,,,,TRUE,FALSE,AS,21,1,3
可莉nukleer,GT-29,178,640,G5FB2hcOGbPBRVMPJ5Fz6mgPCqFx65gQFEES9TIRFHIyPDQUGrMya5QnHKKS1boeDkEB,AECy8WAPHRDg8kcPJkBi9GYPCWBw9pcTC7HQO8EdDLIwatsmI6Jwa+MmDrEw1OQdDkAA,Chiori\\Klee\\Navia,Durin\\Mavuika\\Mona,1,0,1\\3,,,,TRUE,FALSE,AS,22,1,3
Kaizen,DarkShrine,69,28,FWDA9jEYEaHCihAZIVLCBhwgJWIiE1whDjKwHushDuLAOOwjD4IAR/AkD3JAa/QRDxAA,IICi2zolJbBi5w0OIHDQ6JcOCYFxTFcUFcFxlbcZG1Fy2zQdI7FADcMQDNExDzgREzAA,Alhaitham\\Kuki Shinobu\\Nahida,Black Serpent Knight: Windcutter\\Dahlia\\Ifa,1,0,1\\3,,,,TRUE,FALSE,AS,23,1,3
Ark,Prizm,13,642,FzACwyAYHXHyhyMhItAx9OIPHkEgA50QCTHRiqsYGqGw6L0eE4JROTUjGJJRa4UmDLAA,IRBR8RkPIECy9BgPIWGAlZcbCaJxAzMgEzIwBsYgDGJgOMojDIKgR9kkDXGSzFIcD8AA,All-Devouring Narwhal\\Chasca\\Skirk,Escoffier\\Hydro Tulpa\\Lyney,0,1,1\\3,,,,TRUE,FALSE,AS,24,1,3
Ianradtan,BYE,59,,BEKiBO4RATLSB/ERCGLRTZgVDMLzizUZJKNDBR4hJkOxB+ghD2NxH+kiD+OBX/UmEOEB,,Maguu Kenki\\Sangonomiya Kokomi\\Shikanoin Heizou,,1,,1\\3,,TRUE,,,FALSE,AS,25,1,3
Buer,crackselo,349,371,IICw6CYPJSBi8mkPJkCS9A4TCbFwO5cdCrFA26QgEzIxBjMgDWLialsmDqFw1OcdDkAA,FYDR6F4PJUBh9GATFrEBO2EeCaFw6pchE+IxHjMjFYJxR1ckJXEiDVsQDtFw1OcdDkAA,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Venti,Abyss Herald: Wicked Torrents\\Black Serpent Knight: Windcutter\\Faruzan,1,0,1\\3,,,,TRUE,FALSE,AS,26,1,3
crackselo,BYE,371,,FYDR6F4PJUBh9GATFrEBO2EeCaFw6pchE+IxHjMjFYJxR1ckJXEiDVsQDtFw1OcdDkAA,,Abyss Herald: Wicked Torrents\\Black Serpent Knight: Windcutter\\Faruzan,,1,,1\\4,,TRUE,,,FALSE,AS,27,1,4
Prizm,Ryssa,642,133,IRBR8RkPIECy9BgPIWGAlZcbCaJxAzMgEzIwBsYgDGJgOMojDIKgR9kkDXGSzFIcD8AA,FbAA7BwOA8DA9JcPCUBw9aQPClBB9lcPFWFxO7kZG1GQldkdDbGS21IRJRHA1OsdDkAA,Escoffier\\Hydro Tulpa\\Lyney,Jadeplume Terrorshroom\\Keqing\\Kirara,1,0,1\\4,,,,TRUE,FALSE,AS,28,1,4
DarkShrine,可莉nukleer,28,178,IICi2zolJbBi5w0OIHDQ6JcOCYFxTFcUFcFxlbcZG1Fy2zQdI7FADcMQDNExDzgREzAA,G5FB2hcOGbPBRVMPJ5Fz6mgPCqFx65gQFEES9TIRFHIyPDQUGrMya5QnHKKS1boeDkEB,Black Serpent Knight: Windcutter\\Dahlia\\Ifa,Chiori\\Klee\\Navia,0,1,1\\4,,,,TRUE,FALSE,AS,29,1,4
Buer,BYE,349,,IICw6CYPJSBi8mkPJkCS9A4TCbFwO5cdCrFA26QgEzIxBjMgDWLialsmDqFw1OcdDkAA,,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Venti,,1,,1\\4,,TRUE,,,FALSE,AS,30,1,4
Огурчик238,BYE,279,,FXDC6GEOAoBA8mAPBiAA9pcPCWFxOzMTE7Ex21cdFbJwR8EkDHISah0mJaEQ1OcdDkAA,,Jahoda\\Kuki Shinobu\\Sucrose,,1,,1\\4,,TRUE,,,FALSE,AS,31,1,4
Ianradtan,Oldbie is coming,59,669,BEKiBO4RATLSB/ERCGLRTZgVDMLzizUZJKNDBR4hJkOxB+ghD2NxH+kiD+OBX/UmEOEB,G5Ah6cYOAqDB6sgPG0BR9LUPCFDg9p0UCcHQTL8YDKEQisEgE2JhBjYQIbHS1EQdDkAA,Maguu Kenki\\Sangonomiya Kokomi\\Shikanoin Heizou,Arlecchino\\Golden Wolflord\\Zhongli,1,0,1\\4,,,,TRUE,FALSE,AS,32,1,4
Ark,Paroy,13,118,FzACwyAYHXHyhyMhItAx9OIPHkEgA50QCTHRiqsYGqGw6L0eE4JROTUjGJJRa4UmDLAA,AbKgXC8OA7AC62gOBsCw7GwPCQBw8JcPFkBB9GQPGWExApMQCyJQarUmE6JhazYmDbAA,All-Devouring Narwhal\\Chasca\\Skirk,Collei\\Fischl\\Tighnari,1,0,1\\4,,,,TRUE,FALSE,AS,33,1,4
Kaizen,SOMU,69,267,FWDA9jEYEaHCihAZIVLCBhwgJWIiE1whDjKwHushDuLAOOwjD4IAR/AkD3JAa/QRDxAA,AbDB7FAOA8DA9JcPCkBA9aQPE1Ax9jMPFWFxO7kTG7GQldkdDbGS21IRJRHA1OsdDkAA,Alhaitham\\Kuki Shinobu\\Nahida,Jadeplume Terrorshroom\\Keqing\\Kirara,0,1,1\\4,,,,TRUE,FALSE,AS,34,1,4
Ianradtan,Kaizen,59,69,BEKiBO4RATLSB/ERCGLRTZgVDMLzizUZJKNDBR4hJkOxB+ghD2NxH+kiD+OBX/UmEOEB,FWDA9jEYEaHCihAZIVLCBhwgJWIiE1whDjKwHushDuLAOOwjD4IAR/AkD3JAa/QRDxAA,Maguu Kenki\\Sangonomiya Kokomi\\Shikanoin Heizou,Alhaitham\\Kuki Shinobu\\Nahida,0,1,1\\5,,,,TRUE,FALSE,AS,35,1,5
SOMU,Buer,267,349,AbDB7FAOA8DA9JcPCkBA9aQPE1Ax9jMPFWFxO7kTG7GQldkdDbGS21IRJRHA1OsdDkAA,IICw6CYPJSBi8mkPJkCS9A4TCbFwO5cdCrFA26QgEzIxBjMgDWLialsmDqFw1OcdDkAA,Jadeplume Terrorshroom\\Keqing\\Kirara,Black Serpent Knight: Windcutter\\Hydro Tulpa\\Venti,0,1,1\\5,,,,TRUE,FALSE,AS,36,1,5
crackselo,Paroy,371,118,FYDR6F4PJUBh9GATFrEBO2EeCaFw6pchE+IxHjMjFYJxR1ckJXEiDVsQDtFw1OcdDkAA,AbKgXC8OA7AC62gOBsCw7GwPCQBw8JcPFkBB9GQPGWExApMQCyJQarUmE6JhazYmDbAA,Abyss Herald: Wicked Torrents\\Black Serpent Knight: Windcutter\\Faruzan,Collei\\Fischl\\Tighnari,1,0,1\\5,,,,TRUE,FALSE,AS,37,1,5
Огурчик238,GT-29,279,640,FXDC6GEOAoBA8mAPBiAA9pcPCWFxOzMTE7Ex21cdFbJwR8EkDHISah0mJaEQ1OcdDkAA,AECy8WAPHRDg8kcPJkBi9GYPCWBw9pcTC7HQO8EdDLIwatsmI6Jwa+MmDrEw1OQdDkAA,Jahoda\\Kuki Shinobu\\Sucrose,Durin\\Mavuika\\Mona,1,0,1\\5,,,,TRUE,FALSE,AS,38,1,5
Ark,Ryssa,13,133,FzACwyAYHXHyhyMhItAx9OIPHkEgA50QCTHRiqsYGqGw6L0eE4JROTUjGJJRa4UmDLAA,FbAA7BwOA8DA9JcPCUBw9aQPClBB9lcPFWFxO7kZG1GQldkdDbGS21IRJRHA1OsdDkAA,All-Devouring Narwhal\\Chasca\\Skirk,Jadeplume Terrorshroom\\Keqing\\Kirara,0,1,1\\5,,,,TRUE,FALSE,AS,39,1,5
